C,gamma,kernel,train_accuracy,test_accuracy
0.1,scale,linear,1.0,1.0
0.1,scale,rbf,0.9285714285714286,1.0
0.1,scale,poly,1.0,0.75
0.1,scale,sigmoid,0.0,0.25
0.1,auto,linear,1.0,1.0
0.1,auto,rbf,1.0,0.5
0.1,auto,poly,1.0,1.0
0.1,auto,sigmoid,0.5,0.5
0.1,0.001,linear,1.0,1.0
0.1,0.001,rbf,0.9285714285714286,1.0
0.1,0.001,poly,1.0,1.0
0.1,0.001,sigmoid,0.5,0.5
0.1,0.01,linear,1.0,1.0
0.1,0.01,rbf,1.0,1.0
0.1,0.01,poly,1.0,1.0
0.1,0.01,sigmoid,0.5,0.5
0.1,0.1,linear,1.0,1.0
0.1,0.1,rbf,1.0,0.5
0.1,0.1,poly,1.0,1.0
0.1,0.1,sigmoid,0.5,0.5
0.1,1,linear,1.0,1.0
0.1,1,rbf,1.0,0.5
0.1,1,poly,1.0,1.0
0.1,1,sigmoid,0.5,0.5
1.0,scale,linear,1.0,1.0
1.0,scale,rbf,0.9285714285714286,0.75
1.0,scale,poly,1.0,1.0
1.0,scale,sigmoid,0.0,0.25
1.0,auto,linear,1.0,1.0
1.0,auto,rbf,1.0,0.5
1.0,auto,poly,1.0,1.0
1.0,auto,sigmoid,0.5,0.5
1.0,0.001,linear,1.0,1.0
1.0,0.001,rbf,0.9285714285714286,1.0
1.0,0.001,poly,1.0,1.0
1.0,0.001,sigmoid,0.5,0.5
1.0,0.01,linear,1.0,1.0
1.0,0.01,rbf,1.0,1.0
1.0,0.01,poly,1.0,1.0
1.0,0.01,sigmoid,0.5,0.5
1.0,0.1,linear,1.0,1.0
1.0,0.1,rbf,1.0,0.5
1.0,0.1,poly,1.0,1.0
1.0,0.1,sigmoid,0.5,0.5
1.0,1,linear,1.0,1.0
1.0,1,rbf,1.0,0.5
1.0,1,poly,1.0,1.0
1.0,1,sigmoid,0.5,0.5
10.0,scale,linear,1.0,1.0
10.0,scale,rbf,0.9285714285714286,1.0
10.0,scale,poly,1.0,1.0
10.0,scale,sigmoid,0.0,0.25
10.0,auto,linear,1.0,1.0
10.0,auto,rbf,1.0,0.5
10.0,auto,poly,1.0,1.0
10.0,auto,sigmoid,0.5,0.5
10.0,0.001,linear,1.0,1.0
10.0,0.001,rbf,1.0,0.75
10.0,0.001,poly,1.0,1.0
10.0,0.001,sigmoid,0.5,0.5
10.0,0.01,linear,1.0,1.0
10.0,0.01,rbf,1.0,1.0
10.0,0.01,poly,1.0,1.0
10.0,0.01,sigmoid,0.5,0.5
10.0,0.1,linear,1.0,1.0
10.0,0.1,rbf,1.0,0.5
10.0,0.1,poly,1.0,1.0
10.0,0.1,sigmoid,0.5,0.5
10.0,1,linear,1.0,1.0
10.0,1,rbf,1.0,0.5
10.0,1,poly,1.0,1.0
10.0,1,sigmoid,0.5,0.5
100.0,scale,linear,1.0,1.0
100.0,scale,rbf,1.0,1.0
100.0,scale,poly,1.0,1.0
100.0,scale,sigmoid,0.0,0.25
100.0,auto,linear,1.0,1.0
100.0,auto,rbf,1.0,0.5
100.0,auto,poly,1.0,1.0
100.0,auto,sigmoid,0.5,0.5
100.0,0.001,linear,1.0,1.0
100.0,0.001,rbf,1.0,1.0
100.0,0.001,poly,1.0,1.0
100.0,0.001,sigmoid,0.5,0.5
100.0,0.01,linear,1.0,1.0
100.0,0.01,rbf,1.0,1.0
100.0,0.01,poly,1.0,1.0
100.0,0.01,sigmoid,0.5,0.5
100.0,0.1,linear,1.0,1.0
100.0,0.1,rbf,1.0,0.5
100.0,0.1,poly,1.0,1.0
100.0,0.1,sigmoid,0.5,0.5
100.0,1,linear,1.0,1.0
100.0,1,rbf,1.0,0.5
100.0,1,poly,1.0,1.0
100.0,1,sigmoid,0.5,0.5
